opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
980167,12480,open,0,0,0,0,0,0,0,0,2016-05-23 00:00:00.0,2016-05-23 15:04:38.52,2016-05-23 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Ironwood Construction,0,0,0,false,38,0,2,none,0,3,Reyna
979953,12480,open,0,4,0,0,0,0,0,0,2016-05-23 11:15:32.76,2016-05-23 11:15:32.76,2016-05-27 00:00:00.0,2016-06-30 00:00:00.0,0.0000,M. A. Mortenson Company,0,0,0,false,38,0,0,none,0,0,Hughes
978241,12482,open,0,0,0,0,0,0,0,0,2016-05-19 00:00:00.0,2016-05-19 12:22:13.997,2016-05-19 00:00:00.0,2016-06-30 00:00:00.0,14200.0000,Sletten Companies,0,0,0,false,42,0,15,Best Case,301-1000,3,Reyna
977690,12483,open,0,0,0,0,7,0,0,0,2016-05-12 00:00:00.0,2016-05-18 10:27:15.32,2016-05-12 00:00:00.0,2016-06-30 00:00:00.0,495.0000,VMDO Architects Upsell May 2016,0,0,0,false,43,0,-7,Best Case,0,1,Veeravalli
977657,12480,open,0,0,0,0,0,0,0,0,2016-05-18 00:00:00.0,2016-05-18 09:45:49.513,2016-05-18 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Miles Corp,0,0,0,false,43,0,0,none,0,0,
977500,12481,open,0,0,0,0,0,0,0,0,2016-05-17 00:00:00.0,2016-05-17 18:02:52.91,2016-05-17 00:00:00.0,2016-06-30 00:00:00.0,4500.0000,DeShazo Group,0,0,0,false,44,0,14,Best Case,0,3,Reyna
977480,12480,open,0,5,0,0,0,0,0,0,2016-05-17 16:56:05.143,2016-05-17 16:56:05.143,2016-05-26 00:00:00.0,2016-09-30 00:00:00.0,0.0000,"Plant Construction Company, L.P.",0,0,0,false,136,0,0,none,0,0,Hughes
977390,12481,open,0,0,2,0,0,0,0,0,2016-05-17 00:00:00.0,2016-05-17 14:17:29.923,2016-05-17 00:00:00.0,2016-06-30 00:00:00.0,3000.0000,CB&A,0,0,0,false,44,0,3,Pipeline,0,0,Hughes
976990,12480,open,0,0,0,0,0,0,0,0,2016-05-16 00:00:00.0,2016-05-16 13:19:23.89,2016-05-16 00:00:00.0,2016-06-30 00:00:00.0,0.0000,BrightView Design Group,0,0,0,false,45,0,0,none,0,0,Reyna
976911,12480,open,0,0,0,0,0,0,0,0,2016-05-16 00:00:00.0,2016-05-16 11:49:54.82,2016-05-16 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Champion 1 Construction Co.inc,0,0,0,false,45,0,0,none,0,0,Reyna
976779,12480,open,0,0,0,0,0,0,0,0,2016-05-16 00:00:00.0,2016-05-16 09:22:47.263,2016-05-16 00:00:00.0,2016-06-30 00:00:00.0,7500.0000,Me group,0,0,0,false,45,0,10,Best Case,0,3,Reyna
976623,12482,open,0,0,0,0,0,0,0,0,2016-05-13 00:00:00.0,2016-05-13 17:07:51.293,2016-05-13 00:00:00.0,2016-06-30 00:00:00.0,8920.0000,AMPAM Parks Mechanical,0,0,0,false,48,0,5,Best Case,301-1000,3,Reyna
976549,12482,open,0,0,4,0,0,0,0,0,2016-05-13 00:00:00.0,2016-05-13 15:03:25.27,2016-05-13 00:00:00.0,2016-06-30 00:00:00.0,7080.0000,"Onex, Inc",0,0,0,false,48,0,4,Best Case,0,3,Reyna
976339,12480,open,0,0,0,0,0,0,0,0,2016-05-13 00:00:00.0,2016-05-13 11:10:01.03,2016-05-13 00:00:00.0,2016-07-31 00:00:00.0,0.0000,Hermes Landscaping,0,0,0,false,79,0,0,none,0,0,Hughes
976249,12480,open,0,0,0,0,0,0,0,0,2016-05-13 00:00:00.0,2016-05-13 09:32:58.887,2016-05-13 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Maser Consulting,0,0,0,false,48,0,0,none,0,0,Reyna
