opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
927788,7,won,0,0,4,0,0,0,0,0,2016-02-29 00:00:00.0,2016-02-29 09:27:13.977,2016-02-29 00:00:00.0,2016-03-18 00:00:00.0,7080.0000,"Plath & Company, Inc",0,0,0,false,18,0,9,none,1-30,3,Reyna
927779,7,won,0,0,0,0,0,0,0,0,2016-02-29 09:10:10.52,2016-02-29 09:10:10.52,2016-03-15 00:00:00.0,2016-03-11 00:00:00.0,4300.0000,H.C. Pody,0,0,0,false,11,0,0,none,0,3,Reyna
926396,7,won,0,0,5,0,13,0,0,0,2016-02-25 10:55:44.167,2016-02-25 10:55:44.167,2016-02-29 00:00:00.0,2016-03-16 00:00:00.0,3000.0000,New England Specialty Concrete,0,0,0,false,20,0,6,none,0,2,Reyna
926230,7,won,0,4,1,48,5,0,0,0,2016-02-24 17:39:31.687,2016-02-24 17:39:31.687,2016-02-26 00:00:00.0,2016-05-03 00:00:00.0,9425.0000,"Ragnar Benson Construction, LLC",0,0,0,false,69,0,15,Commit,0,1,Hughes
925806,7,won,0,0,0,0,0,0,0,0,2016-02-24 10:59:42.467,2016-02-24 10:59:42.467,,2016-04-19 00:00:00.0,600.0000,Chandos Construction Upsell,0,0,0,false,55,0,0,none,0,1,Hughes
925731,7,won,0,0,5,0,0,0,0,0,2016-02-24 10:37:48.45,2016-02-24 10:37:48.45,2016-04-29 00:00:00.0,2016-04-05 00:00:00.0,3400.0000,"PKF-Mark III, Inc.",0,0,0,false,41,0,5,none,0,2,Reyna
925615,7,won,0,0,0,0,0,0,0,0,2016-02-23 00:00:00.0,2016-02-23 19:18:06.567,2016-02-23 00:00:00.0,2016-03-07 00:00:00.0,7880.0000,Aerotech Mapping Inc.,0,0,0,false,13,0,0,none,0,2,Hughes
925483,7,won,0,0,7,0,42,0,0,0,2016-02-23 15:07:43.273,2016-02-23 15:07:43.273,2016-02-26 00:00:00.0,2016-04-20 00:00:00.0,5920.0000,Cleary Zimmermann Engineers,0,0,0,true,57,0,35,Commit,0,3,Hughes
925256,7,won,0,0,2,0,0,0,0,0,2016-02-23 00:00:00.0,2016-02-23 10:49:50.167,2016-02-23 00:00:00.0,2016-03-02 00:00:00.0,13400.0000,McCownGordon Construction,0,0,0,false,8,0,3,none,0,3,Reyna
924232,7,won,0,0,0,0,39,0,0,0,2016-02-19 12:40:33.603,2016-02-19 12:40:33.603,,2016-04-18 00:00:00.0,1500.0000,Jaster-Quintanilla (145) Deltek/Cosential Financial Data Connector [NEW 2016],0,0,0,false,59,0,0,none,0,1,Hughes
922513,7,won,0,0,0,0,0,0,0,0,2016-02-16 00:00:00.0,2016-02-16 13:20:31.59,2016-02-16 00:00:00.0,2016-03-30 00:00:00.0,28450.0000,CSI Electrical,0,0,0,false,43,0,0,none,0,3,Reyna
921891,7,won,0,0,6,0,0,0,0,0,2016-02-16 00:00:00.0,2016-02-16 11:32:05.19,2016-02-16 00:00:00.0,2016-04-18 00:00:00.0,10000.0000,Cardno ( Pilot),0,0,0,false,62,0,6,none,0,2,Reyna
920664,7,won,0,0,7,59,8,0,0,0,2016-02-11 00:00:00.0,2016-02-11 20:25:22.653,2016-02-11 00:00:00.0,2016-04-27 00:00:00.0,6660.0000,Raymond Engineering,0,0,0,false,76,0,8,Commit,0,3,Reyna
920492,7,won,0,0,0,75,0,0,0,0,2016-02-11 00:00:00.0,2016-02-11 14:42:33.867,2016-02-11 00:00:00.0,2016-05-26 00:00:00.0,27000.0000,SPEC service,0,0,0,false,105,0,6,Commit,0,3,Reyna
920053,7,won,0,0,6,2,0,0,0,0,2016-02-10 00:00:00.0,2016-02-10 16:32:22.68,2016-02-10 00:00:00.0,2016-04-08 00:00:00.0,9760.0000,"Armstrong Consultants, Inc.",0,0,0,false,58,0,9,none,31-100,3,Reyna
919327,11,lost,0,8,0,0,0,0,0,0,2016-02-09 12:18:37.07,2016-02-09 12:18:37.07,2016-02-17 00:00:00.0,2016-05-06 16:05:58.79,0.0000,Agbayani Construction Corporation,0,0,0,false,87,0,0,none,0,0,Reyna
918997,11,lost,0,0,0,0,0,0,0,17,2016-02-08 16:11:54.307,2016-02-08 16:11:54.307,,2016-02-29 00:00:00.0,1440.0000,NEFCO Upsell,2,0,0,false,21,0,0,none,0,0,Veeravalli
918989,11,lost,0,0,0,0,0,0,0,27,2016-02-08 16:06:50.52,2016-02-08 16:06:50.52,,2016-03-31 00:00:00.0,7920.0000,SD Deacon Upsell,11,0,0,false,52,0,0,none,0,0,Veeravalli
918655,7,won,0,0,0,0,0,0,0,0,2016-02-08 09:45:01.997,2016-02-08 09:45:01.997,,2016-04-19 00:00:00.0,14400.0000,Slack & Co Upsell,10,0,0,false,71,0,0,none,0,2,Veeravalli
918653,7,won,0,0,0,0,0,0,0,0,2016-02-08 09:42:36.633,2016-02-08 09:42:36.633,,2016-04-08 00:00:00.0,720.0000,Skiles Group Upsell,1,0,0,false,60,0,0,none,0,2,Veeravalli
918645,7,won,0,0,0,0,56,0,0,0,2016-02-08 09:35:45.173,2016-02-08 09:35:45.173,,2016-05-10 00:00:00.0,8940.0000,HMFH Architects Upsell,13,0,0,false,92,0,0,Commit,0,1,Veeravalli
918638,7,won,0,0,0,56,0,0,0,0,2016-02-08 09:32:25.257,2016-02-08 09:32:25.257,,2016-04-08 00:00:00.0,3600.0000,Haskell Upsell,8,0,0,false,60,0,0,none,0,1,Veeravalli
918016,9,lost,0,0,0,0,0,0,28,0,2016-02-05 13:01:31.313,2016-02-05 13:01:31.313,2016-02-08 00:00:00.0,2016-03-31 00:00:00.0,5000.0000,Naples Flooring Company,0,0,0,false,55,0,0,none,0,0,Hughes
917707,7,won,0,0,0,0,0,0,0,0,2016-02-04 15:59:12.34,2016-02-04 15:59:12.34,,2016-02-04 15:59:12.34,285.0000,Davenport Upsell,0,0,5,false,0,0,0,none,0,0,Veeravalli
917024,11,lost,0,0,0,0,0,0,0,6,2016-02-03 11:26:34.59,2016-02-03 11:26:34.59,,2016-03-31 00:00:00.0,720.0000,Weigand Construction Upsell,1,0,0,false,57,0,0,none,0,0,Veeravalli
917020,11,lost,0,0,0,0,0,0,0,9,2016-02-03 11:23:50.94,2016-02-03 11:23:50.94,,2016-03-31 00:00:00.0,1440.0000,Ulliman Schutte Upsell,2,0,0,false,57,0,0,none,0,0,Veeravalli
916995,11,lost,0,0,0,0,0,0,0,49,2016-02-03 11:01:29.56,2016-02-03 11:01:29.56,,2016-03-31 00:00:00.0,720.0000,Shook Construction Upsell,1,0,0,false,57,0,0,none,0,0,Veeravalli
916980,11,lost,0,0,0,0,0,0,0,40,2016-02-03 10:49:18.867,2016-02-03 10:49:18.867,,2016-03-31 00:00:00.0,2160.0000,Professional Environmental Engineers Upsell,3,0,0,false,57,0,0,none,0,0,Veeravalli
